p,rate_0.05,rate_0.10,rate_0.20
0.269549,0.015227,0.242946,3.790982
0.270317,0.014714,0.236595,3.749882
0.271085,0.014217,0.230394,3.708857
0.271853,0.013736,0.224339,3.667914
0.272621,0.013271,0.218427,3.627063
0.273389,0.012821,0.212656,3.586312
0.274157,0.012385,0.207023,3.545667
0.274925,0.011964,0.201524,3.505138
0.275693,0.011556,0.196157,3.464731
0.276461,0.011161,0.19092,3.424455
0.277229,0.010779,0.185809,3.384315
0.277997,0.01041,0.180822,3.34432
0.278765,0.010053,0.175957,3.304477
0.279533,0.009707,0.17121,3.264791
0.280301,0.009373,0.166579,3.22527
0.281068,0.00905,0.162062,3.18592
0.281836,0.008737,0.157657,3.146747
0.282604,0.008435,0.15336,3.107757
0.283372,0.008142,0.14917,3.068957
0.28414,0.00786,0.145084,3.030352
0.284908,0.007586,0.1411,2.991947
0.285676,0.007322,0.137216,2.953749
0.286444,0.007067,0.133429,2.915761
0.287212,0.00682,0.129738,2.87799
0.28798,0.006581,0.12614,2.84044
0.288748,0.006351,0.122633,2.803117
0.289516,0.006128,0.119215,2.766024
0.290284,0.005912,0.115884,2.729166
0.291052,0.005704,0.112638,2.692548
0.29182,0.005503,0.109476,2.656173
0.292588,0.005308,0.106395,2.620047
0.293356,0.00512,0.103394,2.584171
0.294124,0.004939,0.10047,2.548551
0.294891,0.004764,0.097622,2.513189
0.295659,0.004594,0.094848,2.47809
0.296427,0.004431,0.092146,2.443256
0.297195,0.004272,0.089515,2.40869
0.297963,0.00412,0.086954,2.374396
0.298731,0.003972,0.084459,2.340376
0.299499,0.00383,0.082031,2.306634
0.300267,0.003693,0.079667,2.27317
0.301035,0.00356,0.077365,2.239989
0.301803,0.003432,0.075125,2.207092
0.302571,0.003308,0.072945,2.174481
0.303339,0.003188,0.070822,2.142158
0.304107,0.003073,0.068757,2.110126
0.304875,0.002962,0.066748,2.078385
0.305643,0.002854,0.064793,2.046938
0.306411,0.00275,0.06289,2.015786
0.307179,0.00265,0.06104,1.984931
0.307947,0.002553,0.059239,1.954374
0.308715,0.00246,0.057488,1.924115
0.309482,0.00237,0.055785,1.894156
0.31025,0.002283,0.054128,1.864498
0.311018,0.0022,0.052517,1.835142
0.311786,0.002119,0.050951,1.806088
0.312554,0.002041,0.049427,1.777337
0.313322,0.001966,0.047946,1.748889
0.31409,0.001893,0.046506,1.720745
0.314858,0.001823,0.045107,1.692905
0.315626,0.001755,0.043746,1.665369
0.316394,0.00169,0.042424,1.638138
0.317162,0.001627,0.041138,1.61121
0.31793,0.001567,0.039889,1.584587
0.318698,0.001509,0.038675,1.558268
0.319466,0.001452,0.037495,1.532253
0.320234,0.001398,0.036349,1.506541
0.321002,0.001346,0.035236,1.481131
0.32177,0.001295,0.034154,1.456024
0.322538,0.001246,0.033103,1.431219
0.323306,0.0012,0.032083,1.406715
0.324073,0.001154,0.031091,1.38251
0.324841,0.001111,0.030128,1.358605
0.325609,0.001069,0.029193,1.334999
0.326377,0.001028,0.028286,1.31169
0.327145,0.000989,0.027404,1.288677
0.327913,0.000952,0.026548,1.265959
