model,population_size,sample_size,nominal_defect_rate,acceptable_defectives,first_unacceptable_defectives,accept_confidence,reject_confidence,accept_alpha,reject_alpha,accept_cutoff,reject_cutoff,accept_tail_at_cutoff,accept_tail_after_cutoff,reject_tail_at_cutoff,reject_tail_before_cutoff,inconclusive_low,inconclusive_high,accept_constraint_ok,reject_constraint_ok,accept_boundary_maximal_ok,reject_boundary_minimal_ok,disjoint_regions_ok,has_accept_region,has_reject_region,has_both_regions
binomial,,140,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,9,21,0.09726381418564127,0.1618560067474778,0.03919197008528189,0.06590312446042833,10,20,True,True,True,True,True,True,True,True
binomial,,141,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,9,21,0.09282618263559102,0.15539678749129598,0.041863085522796994,0.0698766846154065,10,20,True,True,True,True,True,True,True,True
binomial,,142,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,9,21,0.0885600050317977,0.1491397270057255,0.04466444543205822,0.07400983857989218,10,20,True,True,True,True,True,True,True,True
binomial,,143,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,9,21,0.08446062534935567,0.1430817548083394,0.047598984746842474,0.07830428635762438,10,20,True,True,True,True,True,True,True,True
binomial,,144,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,9,22,0.08052338531106618,0.13721964186244706,0.02961445094624269,0.05066951490792091,10,21,True,True,True,True,True,True,True,True
binomial,,145,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,9,22,0.07674363487430731,0.13155001620730986,0.031719957342410704,0.05387871417304614,10,21,True,True,True,True,True,True,True,True
binomial,,146,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,9,22,0.07311674199197624,0.126069378074009,0.0339358330254734,0.05722911820583812,10,21,True,True,True,True,True,True,True,True
binomial,,147,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,9,22,0.06963810166541763,0.12077411446580513,0.03626516154350978,0.06072311098289319,10,21,True,True,True,True,True,True,True,True
binomial,,148,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,9,22,0.0663031443088683,0.11566051318576356,0.038710956487448364,0.06436291605694336,10,21,True,True,True,True,True,True,True,True
binomial,,149,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,9,22,0.06310734344633685,0.11072477629807048,0.04127615244439807,0.06815058821212631,10,21,True,True,True,True,True,True,True,True
binomial,,150,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,9,22,0.060046222763008875,0.1059630330128985,0.04396359602117086,0.07208800554553776,10,21,True,True,True,True,True,True,True,True
binomial,,151,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,9,22,0.057115362534293716,0.10137135198790673,0.04677603697360773,0.07617686200715539,10,21,True,True,True,True,True,True,True,True
binomial,,152,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,10,22,0.09694575304254695,0.15809948392389803,0.04971611947696156,0.08041866042802592,11,21,True,True,True,True,True,True,True,True
binomial,,153,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,10,23,0.09268221828391908,0.15198411083576488,0.03143415191064408,0.05278637357206806,11,22,True,True,True,True,True,True,True,True
binomial,,154,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,10,23,0.08857670264571257,0.1460539215805825,0.03356937407678639,0.05598920682127975,11,22,True,True,True,True,True,True,True,True
binomial,,155,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,10,23,0.08462514384393831,0.14030619968709349,0.03581135735123466,0.05932689620730196,11,22,True,True,True,True,True,True,True,True
binomial,,156,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,10,23,0.08082347175533568,0.13473809410277546,0.03816291123684128,0.06280158030693214,11,22,True,True,True,True,True,True,True,True
binomial,,157,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,10,23,0.07716761722629985,0.12934663186803022,0.04062677814385174,0.06641525177054737,11,22,True,True,True,True,True,True,True,True
binomial,,158,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,10,23,0.0736535203218555,0.12412873040386097,0.04320562550652253,0.07016975013678795,11,22,True,True,True,True,True,True,True,True
binomial,,159,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,10,23,0.07027713802582972,0.11908120939565917,0.04590203796954977,0.07406675501036064,11,22,True,True,True,True,True,True,True,True
binomial,,160,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,10,23,0.06703445140461103,0.11420080225867646,0.04871850967363174,0.0781077796292604,11,22,True,True,True,True,True,True,True,True
binomial,,161,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,10,24,0.06392147224824449,0.10948416717326767,0.0310849477002551,0.05165743666919511,11,23,True,True,True,True,True,True,True,True
binomial,,162,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,10,24,0.06093424920349021,0.10492789768076756,0.0331421965971494,0.05472110948687002,11,23,True,True,True,True,True,True,True,True
binomial,,163,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,10,24,0.058068873414510225,0.10052853283303867,0.035300087886120435,0.05791170589270819,11,23,True,True,True,True,True,True,True,True
binomial,,164,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,11,24,0.09628256689118661,0.15431076809651206,0.037561249686779645,0.061231283855375865,12,23,True,True,True,True,True,True,True,True
binomial,,165,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,11,24,0.09218645857080862,0.14850794797598094,0.03992825310363836,0.06468177475178322,12,23,True,True,True,True,True,True,True,True
binomial,,166,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,11,24,0.08823663983330741,0.1428757990354615,0.04240360526845234,0.06826497683651599,12,23,True,True,True,True,True,True,True,True
binomial,,167,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,11,24,0.08442952422438273,0.13741188311525152,0.04498974242525944,0.0719825489994258,12,23,True,True,True,True,True,True,True,True
binomial,,168,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,11,24,0.08076151476270839,0.13211364722616473,0.04768902308267649,0.07583600483449598,12,23,True,True,True,True,True,True,True,True
binomial,,169,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,11,25,0.07722901138305986,0.1269784339798206,0.030683554940952082,0.05050372125785813,12,24,True,True,True,True,True,True,True,True
binomial,,170,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,11,25,0.07382841793973344,0.12200349172014852,0.03266557157264246,0.05343601983624773,12,24,True,True,True,True,True,True,True,True
binomial,,171,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,11,25,0.0705561487772901,0.11718598434210256,0.03474261639900177,0.05648800407090078,12,24,True,True,True,True,True,True,True,True
binomial,,172,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,11,25,0.06740863487666476,0.11252300078562064,0.03691715516619205,0.059661655244636916,12,24,True,True,True,True,True,True,True,True
binomial,,173,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,11,25,0.06438232958587643,0.10801156419472424,0.039191605174036276,0.06295884451775438,12,24,True,True,True,True,True,True,True,True
binomial,,174,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,11,25,0.06147371394528717,0.10364864073383787,0.041568329108408436,0.06638132698324778,12,24,True,True,True,True,True,True,True,True
binomial,,175,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,12,25,0.09943114805498357,0.15620508796264995,0.04404962889589119,0.06993073595077509,13,24,True,True,True,True,True,True,True,True
binomial,,176,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,12,25,0.09535596341130642,0.1505276939718847,0.046637739601379874,0.07360857747962604,13,24,True,True,True,True,True,True,True,True
binomial,,177,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,12,25,0.09141993141399801,0.14501052091582955,0.04933482338920395,0.07741622518008538,13,24,True,True,True,True,True,True,True,True
binomial,,178,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,12,26,0.08761987143114036,0.1396514619656481,0.032149005493184654,0.05214296356829268,13,25,True,True,True,True,True,True,True,True
binomial,,179,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,12,26,0.08395258462840946,0.1344483029121968,0.0341484013006958,0.05506415874160166,13,25,True,True,True,True,True,True,True,True
binomial,,180,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,12,26,0.08041486065283754,0.1293987310838209,0.03623997704478503,0.058100317079798625,13,25,True,True,True,True,True,True,True,True
binomial,,181,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,12,26,0.07700348396210627,0.124500344040721,0.038426011048286815,0.061253250738694684,13,25,True,True,True,True,True,True,True,True
binomial,,182,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,12,26,0.07371523980281666,0.1197506580328566,0.040708735017327524,0.06452467043954835,13,25,True,True,True,True,True,True,True,True
binomial,,183,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,12,26,0.07054691984227941,0.11514711620985107,0.043090328559548974,0.0679161802306906,13,25,True,True,True,True,True,True,True,True
binomial,,184,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,12,26,0.06749532745923507,0.11068709657309478,0.04557291372666501,0.07142927244830442,13,25,True,True,True,True,True,True,True,True
binomial,,185,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,12,26,0.06455728269974574,0.10636791966170886,0.048158549598828725,0.07506532289353465,13,25,True,True,True,True,True,True,True,True
binomial,,186,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,12,27,0.061729626905208154,0.10218685596551241,0.03160053526362526,0.050849226928299074,13,26,True,True,True,True,True,True,True,True
binomial,,187,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,13,27,0.09814113305948163,0.15218043187574312,0.0335254044300925,0.05364686285968656,14,26,True,True,True,True,True,True,True,True
binomial,,188,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,13,27,0.09422794245554392,0.14677650199411624,0.03553755027305194,0.056553295743960286,14,26,True,True,True,True,True,True,True,True
binomial,,189,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,13,27,0.09044444616876826,0.141521646040257,0.0376391248201422,0.0595702800630961,14,26,True,True,True,True,True,True,True,True
binomial,,190,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,13,27,0.086787782996145,0.1364139260531097,0.03983224034443713,0.06269948148190813,14,26,True,True,True,True,True,True,True,True
binomial,,191,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,13,27,0.083255074507346,0.13145131174740687,0.042118964458184395,0.06594247204322348,14,26,True,True,True,True,True,True,True,True
binomial,,192,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,13,27,0.07984343074765576,0.12663168802340263,0.04450131521668913,0.06930072552207792,14,26,True,True,True,True,True,True,True,True
